,cellid,tar_freq,state_chan_alt
0,BRT039c-03-1,5000.0,ACTIVE_2
0,BRT039c-24-1,5000.0,ACTIVE_0
0,BRT039c-24-1,5000.0,ACTIVE_1
0,BRT039c-24-1,5000.0,ACTIVE_2
0,BRT039c-25-1,5000.0,ACTIVE_0
0,BRT039c-25-1,5000.0,ACTIVE_1
0,BRT039c-25-1,5000.0,ACTIVE_2
0,BRT039c-40-1,5000.0,ACTIVE_0
0,BRT039c-40-1,5000.0,ACTIVE_1
0,BRT039c-40-1,5000.0,ACTIVE_2
0,BRT039c-45-1,5000.0,ACTIVE_0
0,BRT039c-45-1,5000.0,ACTIVE_1
0,BRT039c-45-1,5000.0,ACTIVE_2
0,TAR010c-01-1,500.0,ACTIVE_1
0,TAR010c-01-1,500.0,ACTIVE_2
0,TAR010c-06-1,500.0,ACTIVE_1
0,TAR010c-06-1,500.0,ACTIVE_2
0,TAR010c-07-1,500.0,ACTIVE_0
0,TAR010c-07-1,500.0,ACTIVE_1
0,TAR010c-09-1,500.0,ACTIVE_0
0,TAR010c-09-1,500.0,ACTIVE_1
0,TAR010c-12-1,500.0,ACTIVE_0
0,TAR010c-12-1,500.0,ACTIVE_1
0,TAR010c-14-1,500.0,ACTIVE_0
0,TAR010c-14-1,500.0,ACTIVE_1
0,TAR010c-15-1,500.0,ACTIVE_0
0,TAR010c-15-1,500.0,ACTIVE_1
0,TAR010c-15-2,500.0,ACTIVE_0
0,TAR010c-15-2,500.0,ACTIVE_1
0,TAR010c-18-1,500.0,ACTIVE_0
0,TAR010c-18-1,500.0,ACTIVE_1
0,TAR010c-19-1,500.0,ACTIVE_1
0,TAR010c-19-1,500.0,ACTIVE_2
0,TAR010c-19-2,500.0,ACTIVE_0
0,TAR010c-19-2,500.0,ACTIVE_1
0,TAR010c-21-1,500.0,ACTIVE_0
0,TAR010c-21-1,500.0,ACTIVE_1
0,TAR010c-21-2,500.0,ACTIVE_0
0,TAR010c-21-2,500.0,ACTIVE_1
0,TAR010c-22-1,500.0,ACTIVE_0
0,TAR010c-22-1,500.0,ACTIVE_1
0,TAR010c-24-1,500.0,ACTIVE_0
0,TAR010c-24-1,500.0,ACTIVE_1
0,TAR010c-27-1,500.0,ACTIVE_1
0,TAR010c-27-1,500.0,ACTIVE_2
0,TAR010c-27-2,500.0,ACTIVE_1
0,TAR010c-27-2,500.0,ACTIVE_2
0,TAR010c-30-1,500.0,ACTIVE_1
0,TAR010c-30-1,500.0,ACTIVE_2
0,TAR010c-33-1,500.0,ACTIVE_1
0,TAR010c-33-1,500.0,ACTIVE_2
0,TAR010c-33-2,500.0,ACTIVE_0
0,TAR010c-33-2,500.0,ACTIVE_1
0,TAR010c-35-1,500.0,ACTIVE_0
0,TAR010c-35-1,500.0,ACTIVE_1
0,TAR010c-38-1,500.0,ACTIVE_0
0,TAR010c-38-1,500.0,ACTIVE_1
0,TAR010c-43-1,500.0,ACTIVE_0
0,TAR010c-43-1,500.0,ACTIVE_1
0,TAR010c-44-1,500.0,ACTIVE_0
0,TAR010c-44-1,500.0,ACTIVE_1
0,TAR010c-52-1,500.0,ACTIVE_0
0,TAR010c-52-1,500.0,ACTIVE_1
0,TAR010c-54-1,500.0,ACTIVE_0
0,TAR010c-54-1,500.0,ACTIVE_1
0,TAR010c-58-1,500.0,ACTIVE_1
0,TAR010c-58-1,500.0,ACTIVE_2
0,TAR010c-60-1,500.0,ACTIVE_0
0,TAR010c-60-1,500.0,ACTIVE_1
