,Unnamed: 0,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,R2,area,sign,experimenter,onBF,SU,animal,task,R2_diff,MIbeh_only,sig_state,sig_any,sig_ubeh,sig_upup,sig_obeh
383,383.0,AMT018a-11-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,-0.13930306513085286,99.572,0.30613137696512005,0.030753097789446408,-0.011243515837449269,-0.2827883663106848,0.0,active,0.09371641996256043,A1,TBD,DS,TBD,True,AMT,TIN,-0.003861562256118403,-0.1387572695352942,False,True,False,False,False
153,153.0,AMT018a-11-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.0005457955955586703,99.572,0.3123747464483626,0.034338864328686096,0.00025546753727750227,0.056671102702081574,0.0,active,0.09757798221867883,A1,TBD,DS,TBD,True,AMT,TIN,-0.003861562256118403,-0.1387572695352942,False,True,False,False,False
382,382.0,AMT018a-11-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,99.572,0.30613137696512005,0.030753097789446408,0.045929893528650935,1.0950076566282232,0.0,baseline,0.09371641996256043,A1,TBD,DS,TBD,True,AMT,TIN,-0.003861562256118403,-0.1387572695352942,False,True,False,False,False
152,152.0,AMT018a-11-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,99.572,0.3123747464483626,0.034338864328686096,0.041932745153350895,0.9573792221380938,0.0,baseline,0.09757798221867883,A1,TBD,DS,TBD,True,AMT,TIN,-0.003861562256118403,-0.1387572695352942,False,True,False,False,False
529,529.0,AMT018a-12-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.03562665045082481,97.5479,0.735404574452716,0.014505497358169243,0.08204061958477482,0.1146652643969582,0.0,active,0.5408198881259804,A1,TBD,DS,TBD,True,AMT,TIN,0.0008859643165332054,0.03534186246669093,False,True,False,False,False
161,161.0,AMT018a-12-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0002847879841338792,97.5479,0.7348019623064755,0.015394657468997016,-0.009143813711066436,-0.0210814354011488,0.0,active,0.5399339238094472,A1,TBD,DS,TBD,True,AMT,TIN,0.0008859643165332054,0.03534186246669093,False,True,False,False,False
528,528.0,AMT018a-12-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,97.5479,0.735404574452716,0.014505497358169243,0.8448454595655368,0.96130180758764,0.0,baseline,0.5408198881259804,A1,TBD,DS,TBD,True,AMT,TIN,0.0008859643165332054,0.03534186246669093,False,True,False,False,False
160,160.0,AMT018a-12-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,97.5479,0.7348019623064755,0.015394657468997016,0.8792672298515598,1.0155142540578674,0.0,baseline,0.5399339238094472,A1,TBD,DS,TBD,True,AMT,TIN,0.0008859643165332054,0.03534186246669093,False,True,False,False,False
759,759.0,AMT018a-12-2,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.034432291561858834,80.6975,0.8938384277668492,0.008560862285263428,0.02452180287428151,0.0272923581628019,0.0,active,0.7989471349527129,A1,TBD,DS,TBD,False,AMT,TIN,-0.00043829117696092545,0.030918128186253304,False,True,False,False,False
177,177.0,AMT018a-12-2,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0035141633756055296,80.6975,0.8940835677550918,0.00854631588990944,-0.00227364786490178,0.016574664937236038,0.0,active,0.7993854261296738,A1,TBD,DS,TBD,False,AMT,TIN,-0.00043829117696092545,0.030918128186253304,False,True,False,False,False
758,758.0,AMT018a-12-2,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,80.6975,0.8938384277668492,0.008560862285263428,0.0713579154306922,0.9906654704092164,0.0,baseline,0.7989471349527129,A1,TBD,DS,TBD,False,AMT,TIN,-0.00043829117696092545,0.030918128186253304,False,True,False,False,False
176,176.0,AMT018a-12-2,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,80.6975,0.8940835677550918,0.00854631588990944,0.08133997376998113,0.9874265665041646,0.0,baseline,0.7993854261296738,A1,TBD,DS,TBD,False,AMT,TIN,-0.00043829117696092545,0.030918128186253304,False,True,False,False,False
