,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,d_offset,g_amplitude,g_base,g_kappa,g_offset
45,TAR010c-60-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_1,-0.0015269940682702092,84.9781,[0.38550107],[0.01892442],,,,PASSIVE_1,-0.006895222116365363,0.05210696164124291,-0.019804419690882712,-0.01376842171515505,-0.06317167943035186,-0.0011447856299672736,-0.006002466608364265,-0.0022612760299767594
46,TAR010c-52-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,85.0,[0.35187999],[0.02993217],,,,baseline,0.2946241612284408,0.2824165785292275,0.00752350277645623,-0.007707411223604364,1.5016976957435768,0.08181524499492637,0.03077721021592351,-0.030461396111246448
47,TAR010c-52-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,0.0005497529256630119,85.0,[0.35187999],[0.02993217],,,,pupil,-0.05085956968779417,0.28241425453128977,-0.10567511484528438,-0.44912428659214887,-0.18056687487317297,0.08182090451706557,0.7060328026859757,0.029222823436450822
48,TAR010c-52-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_0,-0.0013727715151916696,85.0,[0.35187999],[0.02993217],,,,ACTIVE_0,0.020227586187451803,0.28242769881475815,-0.06792890193177747,-0.039688303228377166,-0.13888518897276342,0.08182146911041396,-0.03307796230699519,-0.007844144909154617
49,TAR010c-52-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,-0.0023478555283033675,85.0,[0.35187999],[0.02993217],,,,ACTIVE_1,0.08062456997043618,0.2824161276831118,-0.040578676152380186,-0.0293456125724596,-0.08292643297942029,0.0818182824538867,-0.02300391753248242,-0.004650797226864719
50,TAR010c-52-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_1,-0.0003010158216777158,85.0,[0.35187999],[0.02993217],,,,PASSIVE_1,0.34094057539451506,0.282428052081814,-0.004849255129702542,-0.027195562518290174,-0.7311508866444252,0.0818191551779872,0.004241865040861041,0.02641445047998044
51,TAR010c-44-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,74.3097,[0.58506023],[0.03219336],,,,baseline,0.1802384089182502,0.11626518640624035,0.002619238367527,-0.002639877099790048,1.4399209526411993,-0.006799251751435262,-0.002569021370533125,0.0025385749389625835
52,TAR010c-44-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,-0.005084077775100603,74.3097,[0.58506023],[0.03219336],,,,pupil,0.00365719671311169,0.11626518662977747,-0.011454517639958767,-0.005524101072304462,-0.07706816992375115,-0.006799204295939212,-0.02916119569633167,-0.024814507677282355
53,TAR010c-44-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_0,-0.0022029199892559803,74.3097,[0.58506023],[0.03219336],,,,ACTIVE_0,0.005687922591858172,0.11626517849506601,-0.01609061370218377,-0.010969140110892495,-0.038975127547578356,-0.006799268215024129,-0.0058621891668122535,-0.0014701208607424327
54,TAR010c-44-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,0.0006460758512590638,74.3097,[0.58506023],[0.03219336],,,,ACTIVE_1,0.026592397990836604,0.11626518252608915,-0.012213601003937266,-0.008799822536927362,0.04772919709886422,-0.006799185712138988,-0.0031211934431087064,-0.0006366532180325375
