,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,g_amplitude,g_base,g_kappa
1051,ley046g-37-1,psth.fs20.pup-ld-st.pup.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.fil0,ACTIVE_1,-0.0193472771982731,85.0,0.46289667191030937,0.023164632066086283,-0.1500953174628905,-10.759513187429457,0.0,ACTIVE_1,29.67715053220631,1.8124463303773346,-2.396978368678853,1.327285365660346,0.767329669676861,-3.248226606881217
1052,ley046g-37-1,psth.fs20.pup-ld-st.pup.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.fil0,PASSIVE_1,-0.023716693390097795,85.0,0.46289667191030937,0.023164632066086283,0.17315451325853976,-3.690714214251026,0.0,PASSIVE_1,29.67715053220631,1.8124463303773346,-2.396978368678853,1.327285365660346,0.767329669676861,-3.248226606881217
1053,ley046g-37-1,psth.fs20.pup-ld-st.pup.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.fil0,PASSIVE_2,0.15853001498744998,85.0,0.46289667191030937,0.023164632066086283,0.2781288710610079,-4.446231842989156,0.0,PASSIVE_2,29.67715053220631,1.8124463303773346,-2.396978368678853,1.327285365660346,0.767329669676861,-3.248226606881217
1054,ley046g-37-1,psth.fs20.pup-ld-st.pup.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.fil0,ACTIVE_2,0.011009921347788736,85.0,0.46289667191030937,0.023164632066086283,-0.3778339323111918,-10.058501791487762,0.0,ACTIVE_2,29.67715053220631,1.8124463303773346,-2.396978368678853,1.327285365660346,0.767329669676861,-3.248226606881217
1055,ley046g-37-1,psth.fs20.pup-ld-st.pup.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.fil0,PASSIVE_3,0.01150405868567064,85.0,0.46289667191030937,0.023164632066086283,0.08851877385297698,-7.030266356579463,0.0,PASSIVE_3,29.67715053220631,1.8124463303773346,-2.396978368678853,1.327285365660346,0.767329669676861,-3.248226606881217
1056,ley046g-39-1,psth.fs20.pup-ld-st.pup.fil-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.fil,baseline,,95.0,0.5077071325650859,0.08236352711882931,-6.547167290331456,-2.296870042096029,0.0,baseline,2.882344374771223,3.704378285421677,1.3677881447360052,4.5338195622091835,0.5545751124367706,1.5271202978089504
1057,ley046g-39-1,psth.fs20.pup-ld-st.pup.fil-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.fil,pupil,0.011637446962415362,95.0,0.5077071325650859,0.08236352711882931,2.0731891462777603,1.2386076519814817,0.0,pupil,2.882344374771223,3.704378285421677,1.3677881447360052,4.5338195622091835,0.5545751124367706,1.5271202978089504
1058,ley046g-39-1,psth.fs20.pup-ld-st.pup.fil-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.fil,ACTIVE_1,0.0002556311406794675,95.0,0.5077071325650859,0.08236352711882931,-2.512582682658845,-2.0655948952614156,0.0,ACTIVE_1,2.882344374771223,3.704378285421677,1.3677881447360052,4.5338195622091835,0.5545751124367706,1.5271202978089504
1059,ley046g-39-1,psth.fs20.pup-ld-st.pup.fil-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.fil,PASSIVE_1,0.04754074900830001,95.0,0.5077071325650859,0.08236352711882931,5.632371203483254,1.8129321182677973,0.0,PASSIVE_1,2.882344374771223,3.704378285421677,1.3677881447360052,4.5338195622091835,0.5545751124367706,1.5271202978089504
1060,ley046g-39-1,psth.fs20.pup-ld-st.pup.fil-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.fil,PASSIVE_2,0.0038333777848144094,95.0,0.5077071325650859,0.08236352711882931,7.29007678988958,4.240276950247243,0.0,PASSIVE_2,2.882344374771223,3.704378285421677,1.3677881447360052,4.5338195622091835,0.5545751124367706,1.5271202978089504
