,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,R2,area,sign,experimenter,onBF,SU,animal,task,bestsnr,bestbf,PASSIVE_0_snr,PASSIVE_0_bf,PASSIVE_0,ACTIVE_1_snr,ACTIVE_1_bf,ACTIVE_1,ACTIVE_1_tf,ACTIVE_1_tardist,PASSIVE_1_snr,PASSIVE_1_bf,PASSIVE_1,ACTIVE_2_snr,ACTIVE_2_bf,ACTIVE_2,ACTIVE_2_tf,ACTIVE_2_tardist,ACTIVE_3_snr,ACTIVE_3_bf,ACTIVE_3,ACTIVE_3_tf,ACTIVE_3_tardist,ACTIVE_0_snr,ACTIVE_0_bf,ACTIVE_0,ACTIVE_0_tf,ACTIVE_0_tardist,PASSIVE_2_snr,PASSIVE_2_bf,PASSIVE_2,PASSIVE_3_snr,PASSIVE_3_bf,PASSIVE_3,ACTIVE_4_snr,ACTIVE_4_bf,ACTIVE_4,ACTIVE_4_tf,ACTIVE_4_tardist,PASSIVE_4_snr,PASSIVE_4_bf,PASSIVE_4,R2_diff,R2beh_unique,R2pup_unique,MIbeh_only,MIbeh_unique,MIpup_unique,sig_ubeh,sig_upup,sig_state,sig_obeh,sig_any
1570,BRT026c-29-1,psth.fs20.pup-ld-st.pup.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh,pupil,-0.4684421091399708,95.0,0.404908373128801,0.05749896742747874,-63.01405607243372,-282.00533091849536,0.0,pupil,0.16395079062981235,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1571,BRT026c-29-1,psth.fs20.pup-ld-st.pup.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh,active,-0.5393889583617746,95.0,0.404908373128801,0.05749896742747874,-59.68138947197032,-185.6177588337109,0.0,active,0.16395079062981235,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1572,BRT026c-27-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.49939180908942604,0.01764384461057468,-0.003322198274138116,1.018103296217454,0.0,baseline,0.24939217898560975,A1,TBD,DS,False,True,BRT,TIN,0.38636,1000.0,-0.07675499999999999,17041.0,BRT026c09_p_PTD.m,0.38636,1000.0,BRT026c11_a_PTD.m,14000.0,-3.8074,,,,0.0082956,5183.0,BRT026c12_a_PTD.m,14000.0,-3.8074,,,,,,-0.027393999999999998,1150.0,BRT026c08_a_PTD.m,14000.0,-3.8074,,,,,,,,,,,,,,,0.013345946771525868,0.005936565939921534,0.009040092226510699,0.13826397077068125,0.056941345667330015,0.04358331667714435,False,False,False,False,True
1573,BRT026c-27-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.003816076992287361,95.0,0.49939180908942604,0.01764384461057468,-0.023990253360078186,-0.2452295460521223,0.0,pupil,0.24939217898560975,A1,TBD,DS,False,True,BRT,TIN,0.38636,1000.0,-0.07675499999999999,17041.0,BRT026c09_p_PTD.m,0.38636,1000.0,BRT026c11_a_PTD.m,14000.0,-3.8074,,,,0.0082956,5183.0,BRT026c12_a_PTD.m,14000.0,-3.8074,,,,,,-0.027393999999999998,1150.0,BRT026c08_a_PTD.m,14000.0,-3.8074,,,,,,,,,,,,,,,0.013345946771525868,0.005936565939921534,0.009040092226510699,0.13826397077068125,0.056941345667330015,0.04358331667714435,False,False,False,False,True
1574,BRT026c-27-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.0006353937922921437,95.0,0.49939180908942604,0.01764384461057468,0.060846843608621415,0.114085276341326,0.0,active,0.24939217898560975,A1,TBD,DS,False,True,BRT,TIN,0.38636,1000.0,-0.07675499999999999,17041.0,BRT026c09_p_PTD.m,0.38636,1000.0,BRT026c11_a_PTD.m,14000.0,-3.8074,,,,0.0082956,5183.0,BRT026c12_a_PTD.m,14000.0,-3.8074,,,,,,-0.027393999999999998,1150.0,BRT026c08_a_PTD.m,14000.0,-3.8074,,,,,,,,,,,,,,,0.013345946771525868,0.005936565939921534,0.009040092226510699,0.13826397077068125,0.056941345667330015,0.04358331667714435,False,False,False,False,True
1575,BRT026c-27-1,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,baseline,,95.0,0.5036844582976776,0.017758954357254168,0.26843226683879845,-2.7832888342717825,0.0,baseline,0.2536980335306249,A1,TBD,DS,False,True,BRT,TIN,0.38636,1000.0,-0.07675499999999999,17041.0,BRT026c09_p_PTD.m,0.38636,1000.0,BRT026c11_a_PTD.m,14000.0,-3.8074,,,,0.0082956,5183.0,BRT026c12_a_PTD.m,14000.0,-3.8074,,,,,,-0.027393999999999998,1150.0,BRT026c08_a_PTD.m,14000.0,-3.8074,,,,,,,,,,,,,,,0.013345946771525868,0.005936565939921534,0.009040092226510699,0.13826397077068125,0.056941345667330015,0.04358331667714435,False,False,False,False,True
1576,BRT026c-27-1,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,pupil,0.07005722413378128,95.0,0.5036844582976776,0.017758954357254168,0.14242999592778866,-1.6383432129847808,0.0,pupil,0.2536980335306249,A1,TBD,DS,False,True,BRT,TIN,0.38636,1000.0,-0.07675499999999999,17041.0,BRT026c09_p_PTD.m,0.38636,1000.0,BRT026c11_a_PTD.m,14000.0,-3.8074,,,,0.0082956,5183.0,BRT026c12_a_PTD.m,14000.0,-3.8074,,,,,,-0.027393999999999998,1150.0,BRT026c08_a_PTD.m,14000.0,-3.8074,,,,,,,,,,,,,,,0.013345946771525868,0.005936565939921534,0.009040092226510699,0.13826397077068125,0.056941345667330015,0.04358331667714435,False,False,False,False,True
1577,BRT026c-27-1,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,active,0.13762857697838912,95.0,0.5036844582976776,0.017758954357254168,14.802714636547881,8.519750886318695,0.0,active,0.2536980335306249,A1,TBD,DS,False,True,BRT,TIN,0.38636,1000.0,-0.07675499999999999,17041.0,BRT026c09_p_PTD.m,0.38636,1000.0,BRT026c11_a_PTD.m,14000.0,-3.8074,,,,0.0082956,5183.0,BRT026c12_a_PTD.m,14000.0,-3.8074,,,,,,-0.027393999999999998,1150.0,BRT026c08_a_PTD.m,14000.0,-3.8074,,,,,,,,,,,,,,,0.013345946771525868,0.005936565939921534,0.009040092226510699,0.13826397077068125,0.056941345667330015,0.04358331667714435,False,False,False,False,True
1578,BRT026c-27-1,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,baseline,,95.0,0.5067559173973345,0.017266460810325318,-0.2180686979931791,1.5741361790084407,0.0,baseline,0.2568015598172141,A1,TBD,DS,False,True,BRT,TIN,0.38636,1000.0,-0.07675499999999999,17041.0,BRT026c09_p_PTD.m,0.38636,1000.0,BRT026c11_a_PTD.m,14000.0,-3.8074,,,,0.0082956,5183.0,BRT026c12_a_PTD.m,14000.0,-3.8074,,,,,,-0.027393999999999998,1150.0,BRT026c08_a_PTD.m,14000.0,-3.8074,,,,,,,,,,,,,,,0.013345946771525868,0.005936565939921534,0.009040092226510699,0.13826397077068125,0.056941345667330015,0.04358331667714435,False,False,False,False,True
1579,BRT026c-27-1,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,pupil,0.09820826294405044,95.0,0.5067559173973345,0.017266460810325318,0.8216880119026863,2.391497793366974,0.0,pupil,0.2568015598172141,A1,TBD,DS,False,True,BRT,TIN,0.38636,1000.0,-0.07675499999999999,17041.0,BRT026c09_p_PTD.m,0.38636,1000.0,BRT026c11_a_PTD.m,14000.0,-3.8074,,,,0.0082956,5183.0,BRT026c12_a_PTD.m,14000.0,-3.8074,,,,,,-0.027393999999999998,1150.0,BRT026c08_a_PTD.m,14000.0,-3.8074,,,,,,,,,,,,,,,0.013345946771525868,0.005936565939921534,0.009040092226510699,0.13826397077068125,0.056941345667330015,0.04358331667714435,False,False,False,False,True
