,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,d_offset,dc_mod,g_amplitude,g_base,g_kappa,g_offset,gain_mod
3464,AMT026a-60-2,psth.fs20.pup-ld-st.pup.afl0.pxf0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl0.pxf0,ACTIVE_1,0.0982328087159437,71.0,[0.60929464],[0.03872491],,,,ACTIVE_1,-0.018879864649890294,0.03078908028105788,-0.016198167415894554,-0.025316160348140597,0.03573614264470337,-0.030570679848375935,-0.11100174714795105,-0.09651886533418519,-0.047228525320464745,0.16026422176261326
3465,AMT026a-60-2,psth.fs20.pup-ld-st.pup.afl0.pxf0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl0.pxf0,ACTIVE_1Xpup,0.11493837015418557,71.0,[0.60929464],[0.03872491],,,,ACTIVE_1Xpup,-0.013454914860205822,0.030783938864708132,0.09022862358667713,0.0927260158488741,0.040740066252805865,0.6950254160551348,-0.11099952165503205,0.24769854304286332,-0.6679832750646335,0.18355317837152568
3466,AMT026a-04-2,psth.fs20.pup-ld-st.pup.afl0.pxf0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl0.pxf0,baseline,0.0,99.9513,[0.44022892],[0.02642574],,,,baseline,0.011848374560056725,0.01611058938482898,0.08612892977513842,-0.08629203992065326,0.0,0.9357347759008363,-0.07778681647154174,-0.037957944257319444,0.03260536944403727,0.0
3467,AMT026a-04-2,psth.fs20.pup-ld-st.pup.afl0.pxf0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl0.pxf0,pupil,0.500061915919818,99.9513,[0.44022892],[0.02642574],,,,pupil,1.6263614903075765,0.016104725009987143,-0.7677203537140087,2.505891694568983,0.10116568466588739,1.4701524426840944,-0.07778362971317927,1.585008503227454,0.12257307635130979,0.7860814824680004
3468,AMT026a-04-2,psth.fs20.pup-ld-st.pup.afl0.pxf0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl0.pxf0,ACTIVE_1,0.18012056753664757,99.9513,[0.44022892],[0.02642574],,,,ACTIVE_1,0.025069789578456726,0.016105375962598468,0.06273418641859344,-0.15034319057390913,0.04642712504890181,-0.45419382517090023,-0.07778624967228705,-0.09015263388916225,-0.04863889307655512,0.3548604181190059
3469,AMT026a-04-2,psth.fs20.pup-ld-st.pup.afl0.pxf0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl0.pxf0,ACTIVE_1Xpup,0.2314825026872012,99.9513,[0.44022892],[0.02642574],,,,ACTIVE_1Xpup,-0.07078258123599136,0.01610914586703611,0.1451058223418628,-0.1362863125432655,0.06061965191805528,0.6861965800346848,-0.0777875792156432,0.40892398663541824,-0.0202823434594477,0.5202912519873337
3470,AMT018a-36-1,psth.fs20.pup-ld-st.pup.afl0.pxf0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl0.pxf0,baseline,0.0,98.9528,[0.60724662],[0.02035311],,,,baseline,0.01797118368985179,0.022276933133500064,-0.009009009176327371,0.009054105528457132,0.0,1.1045635047483968,0.1717132473179822,0.01946776964880425,-0.027387388620883794,0.0
3471,AMT018a-36-1,psth.fs20.pup-ld-st.pup.afl0.pxf0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl0.pxf0,pupil,0.06769907852422413,98.9528,[0.60724662],[0.02035311],,,,pupil,0.45185134741146255,0.022276336652181858,0.8390896432610948,2.097209697100227,0.017410734300314454,5.261737978921025,0.1717124093372851,0.23581945278642863,1.6955775152701082,0.08890487892687915
3472,AMT018a-36-1,psth.fs20.pup-ld-st.pup.afl0.pxf0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl0.pxf0,ACTIVE_1,0.0872515736104527,98.9528,[0.60724662],[0.02035311],,,,ACTIVE_1,-0.0019372614257637012,0.02227839342063207,-0.1182077924842215,-0.17650471990970457,0.022263833555326816,-1.7364769197309808,0.17171052246817334,-7.8568159366747805,-1.4165537019834589,0.0779643463352281
3473,AMT018a-36-1,psth.fs20.pup-ld-st.pup.afl0.pxf0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl0.pxf0,ACTIVE_1Xpup,0.15258530986545438,98.9528,[0.60724662],[0.02035311],,,,ACTIVE_1Xpup,0.001892694300858235,0.022279246066403163,-0.0512668512290133,-0.04756401979852719,0.04009149302284036,-0.29382122747138895,0.17171239322394086,0.5546679707098023,1.4421354710075738,0.12274539298988524
