Animal,Parmfile,HR,Probe HR,FAR,Number of Probe Targets,Number of Targets,Number of References,Probe DI (%),DI (%),Probe RT (s),Difficulty,zprobeHR,zHR,zFAR,d prime,probe d prime,Criterion
Leyva,ley046f06_a_PTD.m,0.98,0.98,0.39,30,30,62,0.89,0.89,0.25,A Pure Tone,2.053748911,2.053748911,-0.279319034,2.333067945,2.333067945,-0.887214938
Leyva,ley046g02_a_PTD.m,0.98,0.98,0.36,30,30,55,0.95,0.95,0.24,A Pure Tone,2.053748911,2.053748911,-0.358458793,2.412207704,2.412207704,-0.847645059
Leyva,ley046g06_a_PTD.m,0.98,0.98,0.35,31,31,57,0.94,0.94,0.2,A Pure Tone,2.053748911,2.053748911,-0.385320466,2.439069377,2.439069377,-0.834214222
Leyva,ley047f03_a_PTD.m,0.86,0.86,0.23,35,35,60,0.87,0.87,0.36,A Pure Tone,1.080319341,1.080319341,-0.738846849,1.81916619,1.81916619,-0.170736246
Leyva,ley047i03_a_PTD.m,0.79,0.79,0.13,19,19,23,0.83,0.83,0.38,A Pure Tone,0.806421247,0.806421247,-1.126391129,1.932812376,1.932812376,0.159984941
Leyva,ley048g05_a_PTD.m,0.98,0.98,0.03,30,30,32,0.99,0.99,0.3,A Pure Tone,2.053748911,2.053748911,-1.880793608,3.934542519,3.934542519,-0.086477651
Leyva,ley048j04_a_PTD.m,0.98,0.98,0.03,30,30,32,1,1,0.26,A Pure Tone,2.053748911,2.053748911,-1.880793608,3.934542519,3.934542519,-0.086477651
Leyva,ley048m04_a_PTD.m,0.98,0.98,0.03,30,30,31,0.99,0.99,0.26,A Pure Tone,2.053748911,2.053748911,-1.880793608,3.934542519,3.934542519,-0.086477651
Leyva,ley048m06_a_PTD.m,0.98,0.98,0.09,30,30,34,0.97,0.97,0.37,A Pure Tone,2.053748911,2.053748911,-1.340755034,3.394503944,3.394503944,-0.356496938
Leyva,ley049c07_a_PTD.m,0.83,0.83,0.04,23,23,24,0.83,0.83,0.37,A Pure Tone,0.954165253,0.954165253,-1.750686071,2.704851324,2.704851324,0.398260409
Leyva,ley049h05_a_PTD.m,0.97,0.97,0.35,31,31,57,0.85,0.85,0.24,A Pure Tone,1.880793608,1.880793608,-0.385320466,2.266114075,2.266114075,-0.747736571
Leyva,ley049h07_a_PTD.m,0.98,0.98,0.26,30,30,54,0.88,0.88,0.19,A Pure Tone,2.053748911,2.053748911,-0.643345405,2.697094316,2.697094316,-0.705201753
