Animal,Parmfile,HR,Probe HR,FAR,Number of Probe Targets,Number of Targets,Number of References,Probe DI (%),DI (%),Probe RT (s),Difficulty,zprobeHR,zHR,zFAR,d prime,probe d prime,Criterion
Beartooth,BRT015c04_a_PTD.m,0.87,0.83,0.28,12,61,105,0.76,0.77,0.31,Easy,0.954165253,1.126391129,-0.582841507,1.709232636,1.53700676,-0.271774811
Beartooth,BRT015c06_a_PTD.m,0.73,0.73,0.2,15,74,100,0.75,0.77,0.49,Hard,0.612812991,0.612812991,-0.841621234,1.454434225,1.454434225,0.114404121
Beartooth,BRT015c08_a_PTD.m,0.81,0.83,0.14,6,32,43,0.8,0.8,0.35,A Pure Tone,0.954165253,0.877896295,-1.080319341,1.958215636,2.034484594,0.101211523
Beartooth,BRT016f04_a_PTD.m,0.99,0.95,0.34,11,54,110,0.8,0.83,0.4,Easy,1.644853627,2.326347874,-0.412463129,2.738811003,2.057316756,-0.956942372
Beartooth,BRT016f06_a_PTD.m,0.98,0.95,0.34,10,56,110,0.87,0.84,0.22,Hard,1.644853627,2.053748911,-0.412463129,2.46621204,2.057316756,-0.820642891
Beartooth,BRT016f07_a_PTD.m,0.96,0.91,0.2,11,55,91,0.89,0.89,0.36,A Pure Tone,1.340755034,1.750686071,-0.841621234,2.592307305,2.182376267,-0.454532419
Beartooth,BRT016f12_a_PTD.m,0.87,0.92,0.19,13,62,98,0.84,0.82,0.48,Hard,1.40507156,1.126391129,-0.877896295,2.004287424,2.282967855,-0.124247417
Beartooth,BRT017f04_a_PTD.m,0.85,0.62,0.11,8,41,47,0.65,0.76,0.55,A Pure Tone,0.305480788,1.036433389,-1.22652812,2.26296151,1.532008908,0.095047365
Beartooth,BRT017g04_a_PTD.m,0.98,0.95,0.35,11,56,123,0.83,0.83,0.26,Easy,1.644853627,2.053748911,-0.385320466,2.439069377,2.030174093,-0.834214222
Beartooth,BRT017g06_a_PTD.m,0.93,0.96,0.29,12,58,102,0.82,0.82,0.41,Hard,1.750686071,1.475791028,-0.55338472,2.029175748,2.304070791,-0.461203154
Beartooth,BRT017g07_a_PTD.m,0.93,0.95,0.24,11,57,84,0.91,0.88,0.38,A Pure Tone,1.644853627,1.475791028,-0.706302563,2.182093591,2.35115619,-0.384744233
Beartooth,BRT018d05_a_PTD.m,0.47,0.33,0.19,3,15,21,0.48,0.57,0.15,A Pure Tone,-0.439913166,-0.075269862,-0.877896295,0.802626433,0.437983129,0.476583079
Beartooth,BRT018e04_a_PTD.m,0.95,0.9,0.32,10,55,106,0.82,0.77,0.19,Easy,1.281551566,1.644853627,-0.467698799,2.112552426,1.749250365,-0.588577414
Beartooth,BRT018e06_a_PTD.m,0.87,0.95,0.35,10,52,113,0.82,0.76,0.34,Hard,1.644853627,1.126391129,-0.385320466,1.511711595,2.030174093,-0.370535331
Beartooth,BRT020h03_a_PTD.m,0.91,0.83,0.44,12,58,164,0.66,0.71,0.54,A Pure Tone,0.954165253,1.340755034,-0.150969215,1.491724249,1.105134469,-0.594892909
Beartooth,BRT020h05_a_PTD.m,0.87,0.96,0.34,12,61,134,0.83,0.77,0.36,Hard,1.750686071,1.126391129,-0.412463129,1.538854258,2.163149201,-0.356964
Beartooth,BRT020h06_a_PTD.m,0.85,0.95,0.24,10,54,90,0.83,0.74,0.43,Easy,1.644853627,1.036433389,-0.706302563,1.742735952,2.35115619,-0.165065413
Beartooth,BRT022e05_a_PTD.m,0.71,0.92,0.25,12,58,100,0.81,0.71,0.26,Easy,1.40507156,0.55338472,-0.67448975,1.22787447,2.079561311,0.060552515
Beartooth,BRT023a05_a_PTD.m,0.6,0.89,0.19,9,43,53,0.82,0.69,0.24,Hard,1.22652812,0.253347103,-0.877896295,1.131243398,2.104424415,0.312274596
Beartooth,BRT024c05_a_PTD.m,0.85,0.77,0.3,13,65,171,0.77,0.79,0.12,Easy,0.738846849,1.036433389,-0.524400513,1.560833902,1.263247362,-0.256016438
Beartooth,BRT024c06_a_PTD.m,0.99,0.95,0.27,10,53,123,0.87,0.89,0.18,A Pure Tone,1.644853627,2.326347874,-0.612812991,2.939160865,2.257666618,-0.856767442
Beartooth,BRT024c09_a_PTD.m,0.79,0.95,0.21,11,53,78,0.87,0.81,0.28,Hard,1.644853627,0.806421247,-0.806421247,1.612842494,2.451274874,0
Beartooth,BRT024d03_a_PTD.m,0.94,0.93,0.22,7,33,45,0.89,0.86,0.44,A Pure Tone,1.475791028,1.554773595,-0.772193214,2.326966809,2.247984242,-0.39129019
Beartooth,BRT026c08_a_PTD.m,0.91,0.91,0.44,11,58,178,0.79,0.78,0.31,A Pure Tone,1.340755034,1.340755034,-0.150969215,1.491724249,1.491724249,-0.594892909
Beartooth,BRT026c11_a_PTD.m,0.99,0.95,0.38,11,53,121,0.82,0.83,0.24,Easy,1.644853627,2.326347874,-0.305480788,2.631828662,1.950334415,-1.010433543
Beartooth,BRT026c12_a_PTD.m,0.87,0.94,0.31,8,39,68,0.8,0.76,0.58,Hard,1.554773595,1.126391129,-0.495850347,1.622241476,2.050623942,-0.315270391
Beartooth,BRT027e04_a_PTD.m,0.96,0.96,0.28,12,56,101,0.88,0.88,0.42,Easy,1.750686071,1.750686071,-0.582841507,2.333527579,2.333527579,-0.583922282
Beartooth,BRT027e05_a_PTD.m,0.99,0.95,0.36,11,53,120,0.84,0.83,0.28,Hard,1.644853627,2.326347874,-0.358458793,2.684806667,2.00331242,-0.98394454
Beartooth,BRT027e07_a_PTD.m,0.83,0.83,0.33,6,29,66,0.69,0.7,0.52,A Pure Tone,0.954165253,0.954165253,-0.439913166,1.394078419,1.394078419,-0.257126044
Beartooth,BRT031c05_a_PTD.m,0.77,0.69,0.26,13,71,126,0.67,0.7,0.27,Easy,0.495850347,0.738846849,-0.643345405,1.382192255,1.139195753,-0.047750722
Beartooth,BRT031c06_a_PTD.m,0.96,0.92,0.35,12,56,125,0.74,0.78,0.29,A Pure Tone,1.40507156,1.750686071,-0.385320466,2.136006538,1.790392027,-0.682682802
Beartooth,BRT031c08_a_PTD.m,0.99,0.95,0.22,10,53,100,0.88,0.85,0.31,Hard,1.644853627,2.326347874,-0.772193214,3.098541088,2.417046841,-0.77707733
Beartooth,BRT032e06_a_PTD.m,0.83,0.77,0.24,13,64,98,0.71,0.74,0.39,Easy,0.738846849,0.954165253,-0.706302563,1.660467816,1.445149412,-0.123931345
Beartooth,BRT032e08_a_PTD.m,0.93,0.96,0.31,12,59,108,0.83,0.78,0.25,Hard,1.750686071,1.475791028,-0.495850347,1.971641376,2.246536419,-0.48997034
Beartooth,BRT032e09_a_PTD.m,0.99,0.95,0.24,11,55,91,0.85,0.84,0.25,A Pure Tone,1.644853627,2.326347874,-0.706302563,3.032650437,2.35115619,-0.810022656
Beartooth,BRT032e13_a_PTD.m,0.96,0.91,0.14,11,54,72,0.84,0.87,0.55,A Pure Tone,1.340755034,1.750686071,-1.080319341,2.831005412,2.421074375,-0.335183365
