,cellid,modelname,state_sig,state_chan,MI,r,r_se,d,g,state_chan_alt
50,mgc008b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.3389313638281764,0.04520495790936914,1.868560021353138,1.003189232689634,baseline
51,mgc008b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,,0.3389313638281764,0.04520495790936914,-0.003439515496768279,0.02312919158072781,PASSIVE_1
52,mgc001c-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8609624356657216,0.01059456361183802,1.353198758831854,1.0326720078618439,baseline
53,mgc001c-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,,0.8609624356657216,0.01059456361183802,-0.00863168990295515,-0.0013797610145601196,ACTIVE_1
54,btn143b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.6285000708348051,0.016625432423591602,1.54248292345637,0.9675389617620457,baseline
55,btn143b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.009701436882578723,0.6285000708348051,0.016625432423591602,-0.0026664793556272805,0.042053758425404104,ACTIVE_1
56,btn142b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9548153315816382,0.0036210337288136727,0.5053513379469563,1.0016324573737516,baseline
57,btn142b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0013207677230759186,0.9548153315816382,0.0036210337288136727,-0.016968825120280962,-0.0021966583396649817,ACTIVE_1
58,btn139c-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8273518366176686,0.01395740318532822,0.8528336891944261,0.97766161433821,baseline
59,btn139c-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0005504839151422294,0.8273518366176686,0.01395740318532822,-0.026812778996026066,0.03603419588801487,ACTIVE_1
60,btn134a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8456631803257938,0.011315017849074623,0.7576853437446037,0.9918091770704305,baseline
61,btn134a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.005296879380842958,0.8456631803257938,0.011315017849074623,-0.013990955381354378,0.012133629584759487,ACTIVE_1
62,btn131a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8064913467624224,0.011906758420079645,0.34735533825474196,0.9888565251647039,baseline
63,btn131a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0006344757933134837,0.8064913467624224,0.011906758420079645,-0.016999691692604606,0.015942361443371605,ACTIVE_1
64,btn123b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.807724415572989,0.009579571440683015,0.9189130441784277,0.9829723870476726,baseline
65,btn123b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-5.379760038848149e-05,0.807724415572989,0.009579571440683015,-0.025150683694794777,0.02572910774705774,ACTIVE_1
