,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
37,BRT006d-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,90.0,0.5850344933279852,0.016663496089342516,0.1807424460151403,0.781759269478337,baseline
38,BRT006d-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.002123596770058548,90.0,0.5850344933279852,0.016663496089342516,0.012734599610467584,0.6155430294436377,pupil
39,BRT006d-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,-0.00027622632795072145,90.0,0.5850344933279852,0.016663496089342516,-1.144273621468316,2.454656287503519,ACTIVE_1
40,BRT006d-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,-6.736887487808123e-05,90.0,0.5850344933279852,0.016663496089342516,-0.9750594334530402,2.515673639066169,PASSIVE_1
41,BRT006d-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_2,-0.0009596147732036212,90.0,0.5850344933279852,0.016663496089342516,-0.7020569271961524,-1.0990656616489078,ACTIVE_2
42,ley046g-59-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,76.5731,0.331770781813615,0.02795448822510454,-0.2972596927724864,5.26379937310965,baseline
43,ley046g-59-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.0007540221273576717,76.5731,0.331770781813615,0.02795448822510454,0.21531026283827703,-2.2016329395360446,pupil
44,ley046g-59-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,-0.0021077122793648545,76.5731,0.331770781813615,0.02795448822510454,1.1848152691867284,-4.544701892522488,ACTIVE_1
45,ley046g-59-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,-0.00013562123541680846,76.5731,0.331770781813615,0.02795448822510454,0.563888804080195,-6.950872290704822,PASSIVE_1
46,ley046g-59-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_2,-0.06961133109065887,76.5731,0.331770781813615,0.02795448822510454,0.38960308002419886,2.19131190379568,PASSIVE_2
47,ley046g-59-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_2,-0.07096126407038761,76.5731,0.331770781813615,0.02795448822510454,0.04721965298032938,6.7663375187591015,ACTIVE_2
48,ley046g-59-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_3,-0.06971834085652234,76.5731,0.331770781813615,0.02795448822510454,-0.47388854160842164,-0.8202198267705499,PASSIVE_3
49,ley049h-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,99.0,0.9298958470147589,0.003447728635497704,0.05519098264455922,1.002464190998293,baseline
50,ley049h-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,0.0010255713956612992,99.0,0.9298958470147589,0.003447728635497704,0.09792794104881684,-0.015675158646682633,pupil
51,ley049h-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_0,0.0010151215296206133,99.0,0.9298958470147589,0.003447728635497704,0.02728911180479245,-0.02150032354558335,ACTIVE_0
52,ley049h-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,-0.00026587757102976674,99.0,0.9298958470147589,0.003447728635497704,-0.01842718150652472,0.015413286952504879,ACTIVE_1
53,ley049h-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,99.0,0.9278732577582488,0.0033831442455378525,0.05705634633028482,1.001577307597183,baseline
54,ley049h-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.0005619299487567256,99.0,0.9278732577582488,0.0033831442455378525,0.04687826926010729,-0.022328717116698198,pupil
55,ley049h-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_0,0.0008497571332708914,99.0,0.9278732577582488,0.0033831442455378525,0.02675695451624807,0.020786868730316238,ACTIVE_0
56,ley049h-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,-0.0002981455231312271,99.0,0.9278732577582488,0.0033831442455378525,-0.0032128149051963715,0.001403541059401581,ACTIVE_1
57,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,85.0,0.37732862588553984,0.017323793821694505,0.5104760091004376,0.6956728893190226,baseline
58,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,0.0018767765094857766,85.0,0.37732862588553984,0.017323793821694505,0.007213493033694655,-0.0273973717690855,pupil
59,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,0.00034452220512838015,85.0,0.37732862588553984,0.017323793821694505,0.06293218802311099,1.0691574862520343,ACTIVE_1
60,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,-0.00012598384843687092,85.0,0.37732862588553984,0.017323793821694505,-0.2230146592852158,-1.7128844226379953,PASSIVE_1
61,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_2,0.008071833783924967,85.0,0.37732862588553984,0.017323793821694505,-0.018958140009045395,-0.8819630004668644,PASSIVE_2
62,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_2,0.008398484903312643,85.0,0.37732862588553984,0.017323793821694505,0.10841678795720414,0.7592680556179561,ACTIVE_2
63,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_3,0.00803878832812819,85.0,0.37732862588553984,0.017323793821694505,0.18907189701285712,1.8002590099315334,PASSIVE_3
64,ley046g-57-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,85.0,0.31671092494721054,0.014304056122307656,0.5621364483535215,0.9493276860427485,baseline
65,ley046g-57-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.0013273686449840514,85.0,0.31671092494721054,0.014304056122307656,-0.029939197440696404,-0.13932270224756163,pupil
