,A1_cellid,A1_snr,PEG_cellid,PEG_snr
65,TNC012a-03-1,0.03226176005077794,ARM019a-10-1,0.03213683221368386
66,TNC015a-16-1,0.032780532609456334,ARM019a-03-2,0.03276574193907355
67,TNC015a-39-1,0.03310804598305956,ARM024a-48-3,0.03314315283509172
68,TNC017a-12-1,0.0333007368951102,ARM019a-06-2,0.03333076253586297
69,TNC017a-12-1,0.0333007368951102,ARM018a-22-1,0.03366540446286345
70,DRX007a-87-2,0.03473849816557075,ARM027a-60-3,0.034516331507479334
71,TNC014a-11-1,0.035041563909343355,ARM019a-15-3,0.034905453686408565
72,TNC014a-11-1,0.035041563909343355,ARM027a-42-2,0.035005903363199566
73,CRD017c-16-1,0.03518291331130359,ARM019a-39-1,0.035203828494051605
74,DRX006b-110-2,0.03522900993315093,ARM018a-43-2,0.03529034445682441
75,DRX008b-57-2,0.03557751681324206,ARM019a-03-5,0.03566785134444591
76,TNC017a-22-1,0.03590467303732962,ARM021b-49-6,0.035829967464927545
77,TNC017a-22-1,0.03590467303732962,ARM017a-15-1,0.03590734028084125
78,ARM032a-23-1,0.03597206395806926,ARM024a-05-3,0.035987612256079465
79,TNC015a-29-1,0.03622979272291015,ARM025a-28-1,0.03633361087709786
80,TNC015a-29-1,0.03622979272291015,ARM019a-49-3,0.03641006347103698
81,TNC015a-42-2,0.0366782929762858,ARM022b-25-2,0.03655622203267088
82,TNC015a-42-2,0.0366782929762858,ARM022b-17-2,0.03671921103033296
83,TNC017a-16-3,0.03685792073552476,ARM028b-12-1,0.03703409754769128
84,CRD017c-22-1,0.038017229664074406,ARM021b-10-3,0.03794525354137986
85,TNC020a-51-1,0.038048614593864466,ARM027a-61-7,0.03808737632843881
86,TNC020a-51-1,0.038048614593864466,ARM026b-28-3,0.038124079974982385
87,TNC014a-13-1,0.038424894119011184,ARM017a-17-2,0.03843580526287146
88,TNC014a-50-1,0.03861695906432749,ARM028b-26-1,0.0387987561301146
89,TNC015a-48-2,0.03910659722634593,ARM018a-36-3,0.039035495541244136
90,ARM031a-39-2,0.039258762568155366,ARM024a-46-2,0.039266551745957175
91,ARM031a-39-2,0.039258762568155366,ARM024a-53-1,0.03930095829191478
92,TNC017a-33-1,0.03967276926631787,ARM017a-19-1,0.039826697248558585
93,TNC014a-48-1,0.04032002639360144,ARM019a-55-4,0.04016833233588707
94,TNC014a-48-1,0.04032002639360144,ARM019a-06-4,0.04022695210010199
95,TNC016a-48-1,0.04054814129011849,ARM019a-52-1,0.040642487043348434
96,DRX008b-34-1,0.040904172347114034,ARM028b-60-1,0.0409314971276344
97,DRX008b-34-1,0.040904172347114034,ARM019a-08-1,0.04093470486307828
98,CRD017c-03-2,0.041464420645826366,ARM019a-55-5,0.041578364323791465
99,ARM031a-36-2,0.04208826600815765,ARM021b-60-4,0.042023313045791114
100,ARM031a-36-2,0.04208826600815765,ARM019a-12-2,0.04207586420615984
101,DRX008b-72-4,0.04252407442488938,ARM022b-48-3,0.04251931534886932
102,ARM031a-48-2,0.042614786763385364,ARM019a-42-2,0.0425908868026924
103,TNC020a-55-1,0.04266385216064303,ARM019a-07-4,0.04265178090785253
104,TNC018a-10-1,0.043061814020709716,ARM018a-11-1,0.043341379974596216
105,CRD017c-24-2,0.04371776175814282,ARM019a-48-2,0.043496536166064186
106,CRD017c-24-2,0.04371776175814282,ARM022b-37-2,0.04356513169416738
107,CRD017c-24-2,0.04371776175814282,ARM028b-17-1,0.04374125163053018
108,TNC015a-13-1,0.04378678342692582,ARM028b-37-1,0.0438364857130982
109,TNC015a-13-1,0.04378678342692582,ARM021b-16-5,0.04384569937838395
110,DRX008b-102-1,0.04428736332724889,ARM021b-33-6,0.04434087434160617
111,DRX008b-102-1,0.04428736332724889,ARM019a-48-4,0.04439530428495897
112,TNC014a-31-1,0.04457359829548327,ARM022b-34-3,0.04445910220510873
113,TNC014a-31-1,0.04457359829548327,ARM021b-49-7,0.044570698254265344
